"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","07/11/2010","15:52:05","","Page /index.cfm [/Users/andrea/dev/www/cfeventmanager/index.cfm] not found
	at railo.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:124):124
	at railo.runtime.PageContextImpl.doInclude(PageContextImpl.java:671):671
	at railo.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:35):35
	at railo.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:24):24
	at railo.runtime.PageContextImpl.execute(PageContextImpl.java:1773):1773
	at railo.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:280):280
	at railo.loader.servlet.CFMLServlet.service(CFMLServlet.java:32):32
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:717):717
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290):290
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206):206
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233):233
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191):191
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128):128
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102):102
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109):109
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293):293
	at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:190):190
	at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:291):291
	at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:769):769
	at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:698):698
	at org.apache.jk.common.ChannelSocket$SocketConnection.runIt(ChannelSocket.java:891):891
	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:690):690
	at java.lang.Thread.run(Thread.java:637):637
"
"ERROR","web-0","07/11/2010","15:52:10","","invalid component definition, can't find mxunit.framework.TestSuite
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:170):170
	at railo.runtime.PageContextImpl.loadComponent(PageContextImpl.java:2417):2417
	at railo.runtime.functions.other.CreateObject.doComponent(CreateObject.java:134):134
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:55):55
